CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F105,F168,F169,F170,F171,F173,F174,F175,F176,F177,F178,F179,F180,F181,F182,F183
,,,,,Age : Age 100 and over - Unit : Persons,Age : Age 0 to 4 - Unit : Persons,Age : Age 5 to 7 - Unit : Persons,Age : Age 8 to 9 - Unit : Persons,Age : Age 10 to 14 - Unit : Persons,Age : Age 16 to 17 - Unit : Persons,Age : Age 18 to 19 - Unit : Persons,Age : Age 20 to 24 - Unit : Persons,Age : Age 25 to 29 - Unit : Persons,Age : Age 30 to 44 - Unit : Persons,Age : Age 45 to 59 - Unit : Persons,Age : Age 60 to 64 - Unit : Persons,Age : Age 65 to 74 - Unit : Persons,Age : Age 75 to 84 - Unit : Persons,Age : Age 85 to 89 - Unit : Persons,Age : Age 90 and over - Unit : Persons
8861,S13002624,The Lochs ,Wards and Electoral Divisions,WED,2,786,453,297,720,301,328,726,766,2323,2539,757,1120,734,161,83
8862,S13002625,Cowdenbeath ,Wards and Electoral Divisions,WED,6,783,461,309,721,346,315,768,798,2843,3055,1015,1426,761,218,100
8863,S13002626,Lochgelly and Cardenden ,Wards and Electoral Divisions,WED,1,830,421,278,765,336,305,751,772,2590,2772,836,1161,776,180,103
8864,S13002627,"Burntisland, Kinghorn and Western Kirkcaldy ",Wards and Electoral Divisions,WED,2,893,513,321,848,315,313,741,711,2885,3319,998,1532,830,219,97
8865,S13002628,Kirkcaldy North ,Wards and Electoral Divisions,WED,1,1056,542,328,908,390,346,801,918,3277,3310,1083,1529,877,202,59
8866,S13002629,Kirkcaldy Central ,Wards and Electoral Divisions,WED,4,874,451,301,734,325,373,951,1070,2872,2907,882,1355,1149,302,160
8867,S13002630,Kirkcaldy East ,Wards and Electoral Divisions,WED,5,904,415,242,661,292,292,973,1100,2802,2774,977,1389,959,269,143
8868,S13002631,Glenrothes West and Kinglassie ,Wards and Electoral Divisions,WED,1,1162,630,416,1144,481,445,1074,1143,3773,3789,1150,1779,932,153,60
8869,S13002632,"Glenrothes North, Leslie and Markinch ",Wards and Electoral Divisions,WED,3,1022,576,355,1058,462,424,981,924,3602,4284,1338,1668,915,184,102
8870,S13002633,Glenrothes Central and Thornton ,Wards and Electoral Divisions,WED,5,825,501,291,819,362,309,885,880,2741,2974,1026,1393,969,217,104
8871,S13002634,Howe of Fife and Tay Coast ,Wards and Electoral Divisions,WED,2,696,459,326,850,373,281,606,570,2638,3553,1237,1668,937,207,101
8872,S13002635,Tay Bridgehead ,Wards and Electoral Divisions,WED,2,805,449,256,795,381,265,757,794,2727,3132,982,1398,763,223,105
